Latitude,Longitude,month,year,Magnitude
39.4, 23.1, February, 1960, 4.6
39.8, 21.8, July, 1960, 4.5
39.4, 22.0, January, 1961, 4.9
39.25, 21.5, July, 1962, 4.6
39.3, 22.0, September, 1962, 4.7
40.0, 22.0, March, 1963, 4.8
39.3, 21.6, March, 1964, 4.6
39.65, 22.68, September, 1964, 4.8
39.16, 23.89, March, 1965, 6.1
39.17, 23.96, March, 1965, 4.8
39.46, 21.95, June, 1965, 4.6
39.6, 22.4, November, 1965, 4.5
39.17, 21.89, February, 1966, 5.0
39.19, 21.9, February, 1966, 4.7
39.04, 21.96, April, 1966, 4.7
39.53, 22.11, October, 1966, 4.7
39.47, 21.25, May, 1967, 6.4
39.75, 21.42, May, 1967, 4.6
39.39, 21.5, May, 1967, 4.5
39.46, 21.23, May, 1967, 4.6
39.51, 21.3, May, 1967, 5.3
39.36, 21.31, May, 1967, 4.6
39.51, 21.48, May, 1967, 4.7
39.56, 21.2, May, 1967, 4.6
39.45, 21.29, May, 1967, 4.6
39.72, 21.31, May, 1967, 4.5
39.53, 21.34, May, 1967, 5.0
39.53, 21.52, May, 1967, 4.5
39.8, 21.5, May, 1967, 4.5
39.62, 21.2, May, 1967, 4.5
39.78, 21.52, May, 1967, 4.5
39.63, 21.26, May, 1967, 4.8
39.56, 21.29, May, 1967, 4.7
39.56, 21.25, May, 1967, 4.5
39.72, 21.39, May, 1967, 4.6
39.23, 21.46, September, 1967, 4.6
39.14, 21.87, February, 1969, 4.6
39.3, 21.6, February, 1969, 4.8
39.32, 23.16, June, 1970, 5.2
39.16, 21.78, August, 1970, 4.6
39.16, 21.9, October, 1970, 5.2
39.06, 21.94, November, 1970, 4.5
39.2809, 22.2407, December, 1971, 4.7
39.4193, 21.6789, November, 1972, 5.0
39.1401, 23.6403, December, 1972, 4.7
39.3755, 22.0795, February, 1976, 5.2
39.3899, 22.1333, February, 1976, 4.8
39.3902, 22.1364, February, 1976, 4.8
39.3257, 21.9124, February, 1976, 4.7
39.2189, 21.6953, July, 1976, 4.7
39.3312, 21.6518, October, 1977, 4.6
39.338, 22.906, January, 1978, 4.6
39.2877, 22.6598, July, 1978, 4.6
39.2988, 22.914, January, 1980, 4.7
39.1347, 21.922, June, 1980, 4.6
39.2982, 22.938, July, 1980, 4.9
39.2963, 22.895, July, 1980, 4.5
39.16, 22.68, July, 1980, 6.1
39.2157, 22.8109, July, 1980, 4.5
39.3112, 22.8745, July, 1980, 5.1
39.2345, 22.7789, July, 1980, 4.5
39.3196, 22.655, July, 1980, 5.0
39.2138, 22.7481, July, 1980, 4.5
39.1904, 22.7331, July, 1980, 4.5
39.2995, 23.1944, July, 1980, 4.5
39.1871, 22.7889, August, 1980, 4.5
39.256, 22.7183, August, 1980, 5.3
39.2894, 22.7183, August, 1980, 4.8
39.2681, 22.7647, September, 1980, 4.8
39.338, 23.1738, December, 1980, 4.5
39.2569, 22.7763, May, 1981, 4.8
39.226, 22.0407, May, 1982, 4.6
39.3217, 22.8709, August, 1982, 4.6
39.2848, 21.584, June, 1983, 4.6
39.3284, 21.4698, December, 1983, 4.6
39.4475, 21.6605, June, 1984, 4.6
39.8407, 22.7634, December, 1984, 4.8
39.2597, 22.806, April, 1985, 5.8
39.2917, 22.8232, November, 1987, 4.6
39.4541, 21.4523, September, 1988, 4.5
39.4354, 21.303, September, 1989, 4.8
39.928, 22.4648, March, 1990, 4.5
39.3571, 21.5203, January, 1995, 4.5
39.363, 21.69, March, 2001, 4.5
39.16, 22.538, May, 2001, 4.6
39.9374, 22.2872, June, 2003, 5.2
39.1295, 22.1607, December, 2004, 4.7
39.347, 21.468, January, 2010, 4.6
